DBN,school_name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent,avg_class_size,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Cohort,grads_percent,dropout_percent,boro,lat,long
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,42,44,NA,1.0476190476190477,NA,22,75.6,451,20.8,21.7,9,0.7,23.5,73.2,2.4,50.6,49.4,71,47.9,19.7,Manhattan,40.7650267080004,-73.99251657799965
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,25,37,15,1.48,40.54054054054054,21,68.3,312,6.1,17,5,3.8,41.7,50.6,3.5,43.9,56.1,61,75.4,16.4,Manhattan,40.7168672240004,-73.98953194299963
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,2.5,NA,NA,NA,NA,23,62.2,336,3.9,24.7,3,9.5,30.7,55.7,3.6,39.9,60.1,68,67.6,8.800000000000002,Manhattan,40.7168672240004,-73.98953194299963
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,2.5,NA,NA,NA,NA,22,51,248,4.8,12.9,1,4,34.3,54.4,6.5,52.4,47.6,79,51.9,15.2,NA,NA,NA
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,2.5,NA,NA,NA,NA,26,74.9,378,2.6,15.6,2,3.4,46.8,48.4,1.3,0,100,72,73.6,5.6,Manhattan,40.7052349390004,-74.01331503999967
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176,2.5,NA,NA,NA,NA,27,59,495,3,12.3,0,2.8,45.3,45.1,6.7,26.3,73.7,93,73.1,7.5,Manhattan,40.7355194630004,-73.98760424899967
02M376,NYC ISCHOOL,92,473,483,479,1435,2.5,NA,NA,NA,NA,37,34.6,433,0.5,10.9,1,11.5,20.6,43,24,48.7,51.3,NA,NA,NA,Manhattan,40.7243528740004,-74.00475929199968
02M392,MANHATTAN BUSINESS ACADEMY,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,64,332,9.9,13.9,2,6.6,29.5,58.7,4.8,59,41,NA,NA,NA,Manhattan,40.7428881010004,-74.00212738099964
02M393,BUSINESS OF SPORTS SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,22,58.7,304,7.6,21.4,4,1.6,35.5,57.2,4.3,72.4,27.6,NA,NA,NA,Manhattan,40.76336173200047,-73.99050909099964
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188,2.5,NA,NA,NA,NA,25,97,250,82.8,0,NA,62.4,7.2,26.4,4,51.2,48.8,10,NA,NA,NA,NA,NA
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,18,80.8,244,28.3,16.8,15,44.3,15.6,32.8,5.3,48,52,NA,NA,NA,Manhattan,40.7355194630004,-73.98760424899967
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419,213,298,152,1.3990610328638498,51.006711409395976,31,56.4,1394,7.1,14.4,47,16.7,14.8,57.2,11.1,50.4,49.6,352,74.4,6.3,Manhattan,40.7677624390004,-73.98751121399965
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424,2.5,NA,NA,NA,NA,NA,17.9,489,0.4,8.8,2,6.3,10.2,17.6,54.6,55.2,44.8,55,76.4,3.6,Manhattan,40.7324853780004,-73.98305338799963
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522,20,20,15,1,75,29,23.5,502,2,3.2,0,7,19.1,23.7,41.8,25.3,74.7,80,92.5,0,Manhattan,40.76143269900046,-73.98802369799967
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577,78,115,88,1.4743589743589745,76.52173913043478,27,54.6,432,1.6,2.3,0,60.6,5.8,14.6,18.8,44,56,105,98.1,0,Manhattan,40.7440472480004,-73.99147929899965
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677,114,140,97,1.2280701754385965,69.28571428571428,33,21.6,579,1.6,15,0,29.4,8.5,14,45.9,47,53,124,91.1,1.6,Manhattan,40.7421007130004,-74.00207379699964
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565,11,11,NA,1,NA,NA,31,673,2.1,14.6,0,16,12.3,26,38,50.8,49.2,95,64.2,2.1,Manhattan,40.7389488860004,-73.98540517199967
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419,2.5,NA,NA,NA,NA,28,51.6,436,0.5,9.4,0,33,11.7,39.9,15.4,42.4,57.6,106,94.3,1.9,Manhattan,40.7421007130004,-74.00207379699964
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758,155,235,169,1.5161290322580645,71.91489361702128,27,15.8,507,0.2,1.2,0,17.2,5.5,11.6,63.7,32.5,67.5,127,100,0,Manhattan,40.7701164710004,-73.95337910099965
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614,86,95,67,1.1046511627906976,70.52631578947368,29,32.7,626,0.2,9.1,0,30,8.8,21.7,35.9,38.2,61.8,150,96.7,0,Manhattan,40.70492036600046,-74.01151402299968
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170,2.5,NA,NA,NA,NA,23,83.1,421,15.7,18.8,7,5.2,18.1,74.8,1.9,48.5,51.5,94,61.7,13.8,Manhattan,40.7428881010004,-74.00212738099964
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306,204,248,75,1.2156862745098038,30.241935483870968,32,68,1768,4,10.9,12,20.5,24.4,49.7,5.3,29.4,70.6,341,82.1,0.6,Manhattan,40.7324853780004,-73.98305338799963
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233,70,84,32,1.2,38.095238095238095,28,74.2,607,5.4,18.6,45,8.1,30.5,54.2,6.6,46.1,53.9,144,54.2,16,Manhattan,40.7091465390004,-74.01207662699966
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,23,97.5,175,86.9,6.9,2,6.3,8,84.6,1.1,54.9,45.1,NA,NA,NA,Manhattan,40.74610637500046,-73.98100966699963
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062,22,26,NA,1.1818181818181819,NA,20,93.9,294,8.2,22.4,20,1.4,45.2,51.4,1.7,49,51,73,47.9,6.8,NA,NA,NA
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,28,61.5,226,8.8,16.4,10,5.8,23.5,62.4,6.6,60.6,39.4,NA,NA,NA,Manhattan,40.7428881010004,-74.00212738099964
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,24,82.8,176,94.9,0.6,0,40.3,12.5,43.2,3.4,61.4,38.6,NA,NA,NA,Manhattan,40.7355194630004,-73.98760424899967
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372,42,69,29,1.6428571428571428,42.028985507246375,21,60.3,429,3.7,8.2,2,6.3,16.8,71.8,4.9,38.5,61.5,110,98.2,0,Manhattan,40.741494699,-73.99144505299967
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111,6,6,NA,1,NA,26,75.5,208,26,13.5,9,6.3,27.9,62.5,2.4,63.9,36.1,365,38.1,18.6,NA,NA,NA
02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199,2.5,NA,NA,NA,NA,19,69.5,444,6.1,17.3,7,9.9,25.7,59,4.5,46.2,53.8,89,44.9,3.4,Manhattan,40.76544540200046,-73.96021378599966
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227,12,12,6,1,50,20,80.7,325,77.5,0.3,0,33.5,14.8,36.9,14.5,44.3,55.7,69,55.1,7.2,Manhattan,40.76544540200046,-73.96021378599966
02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120,69,83,21,1.2028985507246377,25.301204819277107,24,66,1032,18.6,17.2,80,4.8,34.3,58.2,2.3,47.5,52.5,443,51.9,26.6,NA,NA,NA
02M473,WASHINGTON IRVING YABC,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096,1510,2819,2648,1.866887417218543,93.93401915572899,31,30.3,3297,0,0.4,0,72.1,1.2,2.4,23.7,59.3,40.7,787,98.3,0.4,Manhattan,40.7177464150004,-74.01404904299966
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374,101,176,78,1.7425742574257426,44.31818181818182,27,60.8,809,6.3,11.9,12,24.8,22.5,43.5,8.8,54.5,45.5,177,76.8,7.3,Manhattan,40.7092196250004,-74.01202591499964
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070,2.5,NA,NA,NA,NA,25,83.5,237,15.6,32.9,14,3.8,35,55.3,2.5,62.4,37.6,53,73.6,11.3,Manhattan,40.74610637500046,-73.98100966699963
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,1416,30,34,21,1.1333333333333333,61.76470588235294,26,45.5,491,0.2,3.5,0,4.5,36,39.3,19.8,21.4,78.6,136,92.6,0,Manhattan,40.76544540200046,-73.96021378599966
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240,118,157,76,1.3305084745762712,48.40764331210191,27,72.7,2073,10.2,14.1,108,10.5,39.9,46.6,2.3,49.1,50.9,637,56.4,11.6,Manhattan,40.7106794710004,-74.00080702099967
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,1239,80,118,29,1.475,24.576271186440678,26,73,724,9.8,13.7,30,5.1,22.7,69.9,1.8,40.6,59.4,148,64.9,10.1,Manhattan,40.7577573860004,-73.98318779299967
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,1253,2.5,NA,NA,NA,NA,24,65.3,217,0.5,5.1,0,1.4,47.9,42.4,7.4,21.2,78.8,49,85.7,8.200000000000001,Manhattan,40.755942582,-73.98456770199965
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,1058,67,102,59,1.5223880597014925,57.84313725490197,23,83.5,541,72.6,1.7,5,0.2,0,99.8,0,51.4,48.6,111,69.4,13.5,Manhattan,40.7650267080004,-73.99251657799965
02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,1168,2.5,NA,NA,NA,NA,23,66.1,423,5.4,17.5,9,3.8,30.3,62.2,2.6,38.3,61.7,101,67.3,7.9,Manhattan,40.7168672240004,-73.98953194299963
02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335,1095,2.5,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,17.2,13.1,NA,NA,NA
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1424,61,96,89,1.5737704918032787,92.70833333333334,22,82.6,353,38.2,2.3,0,89.5,3.4,4,2.3,51.3,48.7,54,92.6,0,Manhattan,40.7168672240004,-73.98953194299963
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,1156,2.5,NA,NA,NA,NA,19,79.5,397,90.2,2,0,25.7,19.9,42.1,11.8,61,39,97,49.5,19.6,NA,NA,NA
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,1212,7,7,NA,1,NA,24,73.5,430,4.2,17.9,12,2.3,37.4,49.3,10.2,60.9,39.1,77,80.5,18.2,Manhattan,40.69078762900045,-74.01975732599965
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477,1415,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,45.1,0.9,NA,NA,NA
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,1547,2.5,NA,NA,NA,NA,NA,32.1,157,1.3,0,NA,5.1,33.8,38.2,20.4,40.8,59.2,46,41.3,2.2,NA,NA,NA
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345,1032,2.5,NA,NA,NA,NA,NA,72.8,248,6.5,14.1,2,1.6,35.1,59.7,2.8,38.7,61.3,379,12.7,10.8,NA,NA,NA
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343,1205,58,100,61,1.7241379310344827,61,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,45.4,16.9,NA,NA,NA
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403,1195,67,117,40,1.7462686567164178,34.18803418803419,26,67,610,6.4,21.8,16,2.3,35.1,59.3,2.3,32.6,67.4,134,64.9,11.2,Manhattan,40.7052349390004,-74.01331503999967
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429,1303,2.5,NA,NA,NA,NA,14,75.7,68,1.5,22.1,0,5.9,38.2,39.7,16.2,47.1,52.9,30,40,23.3,NA,NA,NA
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411,1257,70,87,26,1.2428571428571429,29.88505747126437,31,68.3,1599,2.8,11.5,42,3.8,39.1,52.3,4.1,7.3,92.7,416,87.7,2.4,Manhattan,40.7451115710004,-73.99590641999964
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426,1255,2.5,NA,NA,NA,NA,24,54,192,1,6.8,0,7.3,21.9,57.8,11.5,42.7,57.3,48,81.3,2.1,Manhattan,40.7428881010004,-74.00212738099964
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390,1207,52,97,13,1.8653846153846154,13.402061855670103,25,69.8,466,6.2,15.7,10,7.1,29.6,60.5,1.5,65,35,173,48,24.9,Manhattan,40.7243528740004,-74.00475929199968
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359,1108,34,34,14,1,41.17647058823529,24,81.1,1127,19.3,15.5,66,1.6,25.6,70.6,2,52,48,464,47.8,22.6,NA,NA,NA
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376,1153,79,85,9,1.0759493670886076,10.588235294117647,27,72.7,1433,9.1,17.2,78,3.1,30.3,63.8,2.6,46.5,53.5,407,49.6,25.1,NA,NA,NA
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430,1315,84,100,33,1.1904761904761905,33,29,53.3,1344,1.6,11.1,32,9,26.8,51,12.6,46.7,53.3,320,67.5,6.9,Manhattan,40.7654015410004,-73.98176824599966
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403,1236,50,90,10,1.8,11.11111111111111,24,70.3,717,7.9,19.7,43,3.3,28.6,64.3,2.4,51.6,48.4,118,79.7,5.9,Manhattan,40.7836442600004,-73.94574177699963
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408,1193,2.5,NA,NA,NA,NA,27,59.6,409,8.6,10.5,26,1.7,46,49.4,2.2,31.8,68.2,74,55.4,8.1,NA,NA,NA
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374,1132,2.5,NA,NA,NA,NA,24,66.4,418,14.4,19.6,13,1,37.3,58.9,1.4,55.7,44.3,89,61.8,7.9,Manhattan,40.7742964110004,-73.98482270099964
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370,1144,2.5,NA,NA,NA,NA,20,68.8,366,12.8,15.3,10,2.2,37.4,56,3,57.9,42.1,100,60,19,Manhattan,40.7742964110004,-73.98482270099964
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,10,73.2,283,25.1,21.6,9,1.8,19.8,76,1.8,56.9,43.1,NA,NA,NA,Manhattan,40.7857431570004,-73.97441522799966
03M403,THE GLOBAL LEARNING COLLABORATIVE,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,68.4,358,19.3,19.3,7,3.6,27.7,62.6,5.9,51.4,48.6,NA,NA,NA,Manhattan,40.7857431570004,-73.97441522799966
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381,1200,2.5,NA,NA,NA,NA,17,50.4,199,3.5,10.1,0,48.7,33.2,16.6,1.5,47.7,52.3,39,28.2,5.1,NA,NA,NA
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370,1109,65,73,NA,1.123076923076923,NA,24,76.6,516,7.4,18.8,60,0.4,59.9,38.8,0.8,38.4,61.6,127,55.9,1.6,Manhattan,40.80217458100048,-73.95400882799964
03M417,FRANK MCCOURT HIGH SCHOOL,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,24,219,0.9,17.4,0,6.8,18.3,37,37,46.6,53.4,NA,NA,NA,Manhattan,40.7857431570004,-73.97441522799966
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358,1118,48,70,6,1.4583333333333333,8.571428571428571,22,68.6,291,27.8,10.7,8,2.1,29.6,67.4,1,50.5,49.5,521,35.5,23,NA,NA,NA
03M479,BEACON HIGH SCHOOL,261,577,575,592,1744,166,197,140,1.1867469879518073,71.06598984771574,31,18.4,1162,0.2,3.7,0,8.9,14.6,22.8,49.8,39,61,269,96.3,0,Manhattan,40.77215811900049,-73.98779653499963
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577,1707,691,1236,790,1.788712011577424,63.915857605178,31,21.7,2605,0.2,1,0,19.6,12.9,16.6,49.2,26.4,73.6,646,97.1,0.9,Manhattan,40.77367050700047,-73.98526855799963
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402,1196,2.5,NA,NA,NA,NA,23,79.9,541,10.5,15.5,38,1.3,46.2,48.1,1.8,40.1,59.9,107,75.7,9.300000000000002,Manhattan,40.7742964110004,-73.98482270099964
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411,1277,38,38,6,1,15.789473684210526,28,79.8,603,10.4,17.2,26,5,34.8,57.2,2.3,67.7,32.3,137,62.8,6.6,Manhattan,40.7742964110004,-73.98482270099964
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351,1121,2.5,NA,NA,NA,NA,21,70.5,564,7.8,23,20,0.5,34.6,64.4,0.5,44.3,55.7,200,27.5,6.5,NA,NA,NA
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467,1446,2.5,NA,NA,NA,NA,22,55.2,453,1.3,3.8,0,25.6,21.4,41.5,10.2,41.1,58.9,90,93.3,1.1,Manhattan,40.7742964110004,-73.98482270099964
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361,1096,11,11,NA,1,NA,22,64.2,413,5.8,20.8,24,0.7,77.7,18.9,1.5,54.2,45.8,54,74.1,13,Manhattan,40.80217458100048,-73.95400882799964
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373,1084,18,18,NA,1,NA,21,71.8,349,9.7,24.4,17,0.9,39.3,58.7,0.9,44.4,55.6,76,65.8,13.2,Manhattan,40.798865182,-73.93336559699964
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455,1430,328,426,261,1.298780487804878,61.267605633802816,31,71.6,1650,2.7,5.8,29,20.1,19.7,57.4,2.2,46.4,53.6,381,87.7,1.3,Manhattan,40.79374170600044,-73.93408414199968
04M495,PARK EAST HIGH SCHOOL,51,373,379,376,1128,2.5,NA,NA,NA,NA,19,76.8,349,4.3,10.6,3,4.9,33.2,59.6,0.3,42.1,57.9,92,57.6,10.9,Manhattan,40.7905626,-73.94445440799967
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395,1221,2.5,NA,NA,NA,NA,25,70.4,445,4,13.5,5,6.5,26.7,64.5,1.6,32.1,67.9,63,66.7,11.1,Manhattan,40.7936788820004,-73.94941649499964
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,1326,41,55,29,1.3414634146341464,52.72727272727272,26,67.3,449,2.2,6.7,0,5.1,31.2,60.1,1.6,0,100,55,100,0,Manhattan,40.7927069560004,-73.94729966199964
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,1326,2.5,NA,NA,NA,NA,26,67.3,449,2.2,6.7,0,5.1,31.2,60.1,1.6,0,100,55,100,0,Manhattan,40.7927069560004,-73.94729966199964
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357,1095,2.5,NA,NA,NA,NA,26,62.7,192,13.5,18.8,14,4.2,27.6,65.6,2.1,62,38,75,41.3,20,NA,NA,NA
04M680,"HERITAGE SCHOOL, THE",31,358,351,345,1054,2.5,NA,NA,NA,NA,21,71.8,294,6.8,24.8,12,0.3,28.9,69.4,1,48.6,51.4,75,56,9.300000000000002,Manhattan,40.7918796180004,-73.94658639999966
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333,1008,2.5,NA,NA,NA,NA,17,67.6,222,9.5,10.8,1,0.5,62.2,36.9,0.5,39.2,60.8,81,12.3,22.2,NA,NA,NA
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,1210,11,11,NA,1,NA,26,78.5,426,8.7,15.5,12,0.9,35,63.8,0.2,53.5,46.5,96,69.8,7.3,Manhattan,40.81736104600048,-73.94770842099967
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,46.3,474,0.6,0.4,0,11.6,20,48.5,18.4,49.6,50.4,NA,NA,NA,Manhattan,40.8109178530004,-73.95692738699967
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342,1062,17,17,NA,1,NA,23,67,425,9.9,21.6,2,0.5,61.4,38.1,0,48.7,51.3,NA,NA,NA,Manhattan,40.81523036500044,-73.95520120599963
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364,1077,2.5,NA,NA,NA,NA,24,77.7,374,6.1,16.6,12,0.5,59.1,38.2,0.8,25.4,74.6,62,69.4,16.1,Manhattan,40.81523036500044,-73.95520120599963
